"kd_jenis_prw","nm_perawatan"
"PCEPYR000065","Cervical AP LAT Obliqua"
"PCEPYR000066","Cervical AP LAT Obliqua"
"PCROSS000061","Cervical AP LAT Obliqua"
"PCROSS000062","Cervical AP LAT Obliqua"
"PCROSS000063","Cervical AP LAT Obliqua"
"PCROSS000064","Cervical AP LAT Obliqua"
"PCROSS000065","Cervical AP LAT Obliqua"
"PCROSS000066","Cervical AP LAT Obliqua"
"PELIFE000061","Cervical AP LAT Obliqua"
"PELIFE000062","Cervical AP LAT Obliqua"
"PELIFE000063","Cervical AP LAT Obliqua"
"PELIFE000064","Cervical AP LAT Obliqua"
"PELIFE000065","Cervical AP LAT Obliqua"
"PELIFE000066","Cervical AP LAT Obliqua"
"PLN000061","Cervical AP LAT Obliqua"
"PLN000062","Cervical AP LAT Obliqua"
"PLN000063","Cervical AP LAT Obliqua"
"PLN000064","Cervical AP LAT Obliqua"
"PLN000065","Cervical AP LAT Obliqua"
"PLN000066","Cervical AP LAT Obliqua"
"PRUDEN000061","Cervical AP LAT Obliqua"
"PRUDEN000062","Cervical AP LAT Obliqua"
"PRUDEN000063","Cervical AP LAT Obliqua"
"PRUDEN000064","Cervical AP LAT Obliqua"
"PRUDEN000065","Cervical AP LAT Obliqua"
"PRUDEN000066","Cervical AP LAT Obliqua"
"PUFR000061","Cervical AP LAT Obliqua"
"PUFR000062","Cervical AP LAT Obliqua"
"PUFR000063","Cervical AP LAT Obliqua"
"PUFR000064","Cervical AP LAT Obliqua"
"PUFR000065","Cervical AP LAT Obliqua"
"PUFR000066","Cervical AP LAT Obliqua"
"SEQLIFE000061","Cervical AP LAT Obliqua"
"SEQLIFE000062","Cervical AP LAT Obliqua"
"SEQLIFE000063","Cervical AP LAT Obliqua"
"SEQLIFE000064","Cervical AP LAT Obliqua"
"SEQLIFE000065","Cervical AP LAT Obliqua"
"SEQLIFE000066","Cervical AP LAT Obliqua"
"SIMAS000061","Cervical AP LAT Obliqua"
"SIMAS000062","Cervical AP LAT Obliqua"
"SIMAS000063","Cervical AP LAT Obliqua"
"SIMAS000064","Cervical AP LAT Obliqua"
"SIMAS000065","Cervical AP LAT Obliqua"
"SIMAS000066","Cervical AP LAT Obliqua"
"SLYNK000061","Cervical AP LAT Obliqua"
"SLYNK000062","Cervical AP LAT Obliqua"
"SLYNK000063","Cervical AP LAT Obliqua"
"SLYNK000064","Cervical AP LAT Obliqua"
"SLYNK000065","Cervical AP LAT Obliqua"
"SLYNK000066","Cervical AP LAT Obliqua"
"SOMPO000061","Cervical AP LAT Obliqua"
"SOMPO000062","Cervical AP LAT Obliqua"
"SOMPO000063","Cervical AP LAT Obliqua"
"SOMPO000064","Cervical AP LAT Obliqua"
"SOMPO000065","Cervical AP LAT Obliqua"
"SOMPO000066","Cervical AP LAT Obliqua"
"SUMDAS000061","Cervical AP LAT Obliqua"
"SUMDAS000062","Cervical AP LAT Obliqua"
"SUMDAS000063","Cervical AP LAT Obliqua"
"SUMDAS000064","Cervical AP LAT Obliqua"
"SUMDAS000065","Cervical AP LAT Obliqua"
"SUMDAS000066","Cervical AP LAT Obliqua"
"SUNDAY000061","Cervical AP LAT Obliqua"
"SUNDAY000062","Cervical AP LAT Obliqua"
"SUNDAY000063","Cervical AP LAT Obliqua"
"SUNDAY000064","Cervical AP LAT Obliqua"
"SUNDAY000065","Cervical AP LAT Obliqua"
"SUNDAY000066","Cervical AP LAT Obliqua"
"SUNPDSA000061","Cervical AP LAT Obliqua"
"SUNPDSA000062","Cervical AP LAT Obliqua"
"SUNPDSA000063","Cervical AP LAT Obliqua"
"SUNPDSA000064","Cervical AP LAT Obliqua"
"SUNPDSA000065","Cervical AP LAT Obliqua"
"SUNPDSA000066","Cervical AP LAT Obliqua"
"SWPIA000061","Cervical AP LAT Obliqua"
"SWPIA000062","Cervical AP LAT Obliqua"
"SWPIA000063","Cervical AP LAT Obliqua"
"SWPIA000064","Cervical AP LAT Obliqua"
"SWPIA000065","Cervical AP LAT Obliqua"
"SWPIA000066","Cervical AP LAT Obliqua"
"TAKAFUL000061","Cervical AP LAT Obliqua"
"TAKAFUL000062","Cervical AP LAT Obliqua"
"TAKAFUL000063","Cervical AP LAT Obliqua"
"TAKAFUL000064","Cervical AP LAT Obliqua"
"TAKAFUL000065","Cervical AP LAT Obliqua"
"TAKAFUL000066","Cervical AP LAT Obliqua"
"TEMED000061","Cervical AP LAT Obliqua"
"TEMED000062","Cervical AP LAT Obliqua"
"TEMED000063","Cervical AP LAT Obliqua"
"TEMED000064","Cervical AP LAT Obliqua"
"TEMED000065","Cervical AP LAT Obliqua"
"TEMED000066","Cervical AP LAT Obliqua"
"TIMEDC000061","Cervical AP LAT Obliqua"
"TIMEDC000062","Cervical AP LAT Obliqua"
"TIMEDC000063","Cervical AP LAT Obliqua"
"TIMEDC000064","Cervical AP LAT Obliqua"
"TIMEDC000065","Cervical AP LAT Obliqua"
"TIMEDC000066","Cervical AP LAT Obliqua"
"TOMAR000061","Cervical AP LAT Obliqua"
"TOMAR000062","Cervical AP LAT Obliqua"
"TOMAR000063","Cervical AP LAT Obliqua"
"TOMAR000064","Cervical AP LAT Obliqua"
"TOMAR000065","Cervical AP LAT Obliqua"
"TOMAR000066","Cervical AP LAT Obliqua"
"TRAUT000061","Cervical AP LAT Obliqua"
"TRAUT000062","Cervical AP LAT Obliqua"
"TRAUT000063","Cervical AP LAT Obliqua"
"TRAUT000064","Cervical AP LAT Obliqua"
"TRAUT000065","Cervical AP LAT Obliqua"
"TRAUT000066","Cervical AP LAT Obliqua"
"YAKES000061","Cervical AP LAT Obliqua"
"YAKES000062","Cervical AP LAT Obliqua"
"YAKES000063","Cervical AP LAT Obliqua"
"YAKES000064","Cervical AP LAT Obliqua"
"YAKES000065","Cervical AP LAT Obliqua"
"YAKES000066","Cervical AP LAT Obliqua"
"ZURAD000061","Cervical AP LAT Obliqua"
"ZURAD000062","Cervical AP LAT Obliqua"
"ZURAD000063","Cervical AP LAT Obliqua"
"ZURAD000064","Cervical AP LAT Obliqua"
"ZURAD000065","Cervical AP LAT Obliqua"
"ZURAD000066","Cervical AP LAT Obliqua"
"ZURME000061","Cervical AP LAT Obliqua"
"ZURME000062","Cervical AP LAT Obliqua"
"ZURME000063","Cervical AP LAT Obliqua"
"ZURME000064","Cervical AP LAT Obliqua"
"ZURME000065","Cervical AP LAT Obliqua"
"ZURME000066","Cervical AP LAT Obliqua"
"JIAS000061","Cervical AP LAT OJIASqua"
"JIAS000062","Cervical AP LAT OJIASqua"
"JIAS000063","Cervical AP LAT OJIASqua"
"JIAS000064","Cervical AP LAT OJIASqua"
"JIAS000065","Cervical AP LAT OJIASqua"
"JIAS000066","Cervical AP LAT OJIASqua"
"AAA000067","Clavicula"
"AAA000068","Clavicula"
"AAA000069","Clavicula"
"AAA000070","Clavicula"
"AAA000071","Clavicula"
"AAA000072","Clavicula"
"ABDA000067","Clavicula"
"ABDA000068","Clavicula"
"ABDA000069","Clavicula"
"ABDA000070","Clavicula"
"ABDA000071","Clavicula"
"ABDA000072","Clavicula"
"ACADM000067","Clavicula"
"ACADM000068","Clavicula"
"ACADM000069","Clavicula"
"ACADM000070","Clavicula"
"ACADM000071","Clavicula"
"ACADM000072","Clavicula"
"ACPHLT000067","Clavicula"
"ACPHLT000068","Clavicula"
"ACPHLT000069","Clavicula"
"ACPHLT000070","Clavicula"
"ACPHLT000071","Clavicula"
"ACPHLT000072","Clavicula"
"ACPRM000067","Clavicula"
"ACPRM000068","Clavicula"
"ACPRM000069","Clavicula"
"ACPRM000070","Clavicula"
"ACPRM000071","Clavicula"
"ACPRM000072","Clavicula"
"ADIRA000067","Clavicula"
"ADIRA000068","Clavicula"
"ADIRA000069","Clavicula"
"ADIRA000070","Clavicula"
"ADIRA000071","Clavicula"
"ADIRA000072","Clavicula"
"ADM000067","Clavicula"
"ADM000068","Clavicula"
"ADM000069","Clavicula"
"ADM000070","Clavicula"
"ADM000071","Clavicula"
"ADM000072","Clavicula"
"AIA000067","Clavicula"
"AIA000068","Clavicula"
"AIA000069","Clavicula"
"AIA000070","Clavicula"
"AIA000071","Clavicula"
"AIA000072","Clavicula"
"ALLI000067","Clavicula"
"ALLI000068","Clavicula"
"ALLI000069","Clavicula"
"ALLI000070","Clavicula"
"ALLI000071","Clavicula"
"ALLI000072","Clavicula"
"ANGPUR000067","Clavicula"
"ANGPUR000068","Clavicula"
"ANGPUR000069","Clavicula"
"ANGPUR000070","Clavicula"
"ANGPUR000071","Clavicula"
"ANGPUR000072","Clavicula"
"ANUMAP000067","Clavicula"
"ANUMAP000068","Clavicula"
"ANUMAP000069","Clavicula"
"ANUMAP000070","Clavicula"
"ANUMAP000071","Clavicula"
"ANUMAP000072","Clavicula"
"ASIAS000067","Clavicula"
"ASIAS000068","Clavicula"
"ASIAS000069","Clavicula"
"ASIAS000070","Clavicula"
"ASIAS000071","Clavicula"
"ASIAS000072","Clavicula"
"ASKRI000067","Clavicula"
"ASKRI000068","Clavicula"
"ASKRI000069","Clavicula"
"ASKRI000070","Clavicula"
"ASKRI000071","Clavicula"
"ASKRI000072","Clavicula"
"ASTBUA000067","Clavicula"
"ASTBUA000068","Clavicula"
"ASTBUA000069","Clavicula"
"ASTBUA000070","Clavicula"
"ASTBUA000071","Clavicula"
"ASTBUA000072","Clavicula"
"ASTVIV000067","Clavicula"
"ASTVIV000068","Clavicula"
"ASTVIV000069","Clavicula"
"ASTVIV000070","Clavicula"
"ASTVIV000071","Clavicula"
"ASTVIV000072","Clavicula"
"AVRIST000067","Clavicula"
"AVRIST000068","Clavicula"
"AVRIST000069","Clavicula"
"AVRIST000070","Clavicula"
"AVRIST000071","Clavicula"
"AVRIST000072","Clavicula"
"AXMAN000067","Clavicula"
"AXMAN000068","Clavicula"
"AXMAN000069","Clavicula"
"AXMAN000070","Clavicula"
"AXMAN000071","Clavicula"
"AXMAN000072","Clavicula"
"AXRAL000067","Clavicula"
"AXRAL000068","Clavicula"
"AXRAL000069","Clavicula"
"AXRAL000070","Clavicula"
"AXRAL000071","Clavicula"
"AXRAL000072","Clavicula"
"BCA000067","Clavicula"
"BCA000068","Clavicula"
"BCA000069","Clavicula"
"BCA000070","Clavicula"
"BCA000071","Clavicula"
"BCA000072","Clavicula"
"BLI000067","Clavicula"
"BLI000068","Clavicula"
"BLI000069","Clavicula"
"BLI000070","Clavicula"
"BLI000071","Clavicula"
"BLI000072","Clavicula"
"BNLI000067","Clavicula"
"BNLI000068","Clavicula"
"BNLI000069","Clavicula"
"BNLI000070","Clavicula"
"BNLI000071","Clavicula"
"BNLI000072","Clavicula"
"BOSAD000067","Clavicula"
"BOSAD000068","Clavicula"
"BOSAD000069","Clavicula"
"BOSAD000070","Clavicula"
"BOSAD000071","Clavicula"
"BOSAD000072","Clavicula"
"BRLII000067","Clavicula"
"BRLII000068","Clavicula"
"BRLII000069","Clavicula"
"BRLII000070","Clavicula"
"BRLII000071","Clavicula"
"BRLII000072","Clavicula"
"BUMDA000067","Clavicula"
"BUMDA000068","Clavicula"
"BUMDA000069","Clavicula"
"BUMDA000070","Clavicula"
"BUMDA000071","Clavicula"
"BUMDA000072","Clavicula"
"CADM000067","Clavicula"
"CADM000068","Clavicula"
"CADM000069","Clavicula"
"CADM000070","Clavicula"
"CADM000071","Clavicula"
"CADM000072","Clavicula"
"CAR000067","Clavicula"
"CAR000068","Clavicula"
"CAR000069","Clavicula"
"CAR000070","Clavicula"
"CAR000071","Clavicula"
"CAR000072","Clavicula"
"CHBB000067","Clavicula"
"CHBB000068","Clavicula"
"CHBB000069","Clavicula"
"CHBB000070","Clavicula"
"CHBB000071","Clavicula"
"CHBB000072","Clavicula"
"CHIN000067","Clavicula"
"CHIN000068","Clavicula"
"CHIN000069","Clavicula"
"CHIN000070","Clavicula"
"CHIN000071","Clavicula"
"CHIN000072","Clavicula"
"CLIFEA000067","Clavicula"
"CLIFEA000068","Clavicula"
"CLIFEA000069","Clavicula"
"CLIFEA000070","Clavicula"
"CLIFEA000071","Clavicula"
"CLIFEA000072","Clavicula"
"CMNP000067","Clavicula"
"CMNP000068","Clavicula"
"CMNP000069","Clavicula"
"CMNP000070","Clavicula"
"CMNP000071","Clavicula"
"CMNP000072","Clavicula"
"DAYIN000067","Clavicula"
"DAYIN000068","Clavicula"
"DAYIN000069","Clavicula"
"DAYIN000070","Clavicula"
"DAYIN000071","Clavicula"
"DAYIN000072","Clavicula"
"EKALI000067","Clavicula"
"EKALI000068","Clavicula"
"EKALI000069","Clavicula"
"EKALI000070","Clavicula"
"EKALI000071","Clavicula"
"EKALI000072","Clavicula"
"EQUITY000067","Clavicula"
"EQUITY000068","Clavicula"
"EQUITY000069","Clavicula"
"EQUITY000070","Clavicula"
"EQUITY000071","Clavicula"
"EQUITY000072","Clavicula"
"FULLTON000067","Clavicula"
"FULLTON000068","Clavicula"
"FULLTON000069","Clavicula"
"FULLTON000070","Clavicula"
"FULLTON000071","Clavicula"
"FULLTON000072","Clavicula"
"FWDLi000067","Clavicula"
"FWDLi000068","Clavicula"
"FWDLi000069","Clavicula"
"FWDLi000070","Clavicula"
"FWDLi000071","Clavicula"
"FWDLi000072","Clavicula"
"GENE000067","Clavicula"
"GENE000068","Clavicula"
"GENE000069","Clavicula"
"GENE000070","Clavicula"
"GENE000071","Clavicula"
"GENE000072","Clavicula"
"GRAST000067","Clavicula"
"GRAST000068","Clavicula"
"GRAST000069","Clavicula"
"GRAST000070","Clavicula"
"GRAST000071","Clavicula"
"GRAST000072","Clavicula"
"HADOC000067","Clavicula"
"HADOC000068","Clavicula"
"HADOC000069","Clavicula"
"HADOC000070","Clavicula"
"HADOC000071","Clavicula"
"HADOC000072","Clavicula"
"HARTA000067","Clavicula"
"HARTA000068","Clavicula"
"HARTA000069","Clavicula"
"HARTA000070","Clavicula"
"HARTA000071","Clavicula"
"HARTA000072","Clavicula"
"HLGRP000067","Clavicula"
"HLGRP000068","Clavicula"
"HLGRP000069","Clavicula"
"HLGRP000070","Clavicula"
"HLGRP000071","Clavicula"
"HLGRP000072","Clavicula"
"ILGASP000067","Clavicula"
"ILGASP000068","Clavicula"
"ILGASP000069","Clavicula"
"ILGASP000070","Clavicula"
"ILGASP000071","Clavicula"
"ILGASP000072","Clavicula"
"INTASIA000067","Clavicula"
"INTASIA000068","Clavicula"
"INTASIA000069","Clavicula"
"INTASIA000070","Clavicula"
"INTASIA000071","Clavicula"
"INTASIA000072","Clavicula"
"JBASU000067","Clavicula"
"JBASU000068","Clavicula"
"JBASU000069","Clavicula"
"JBASU000070","Clavicula"
"JBASU000071","Clavicula"
"JBASU000072","Clavicula"
"JBR2400067","Clavicula"
"JBR2400068","Clavicula"
"JBR2400069","Clavicula"
"JBR2400070","Clavicula"
"JBR2400071","Clavicula"
"JBR2400072","Clavicula"
"JBRBPJ00067","Clavicula"
"JBRBPJ00068","Clavicula"
"JBRBPJ00069","Clavicula"
"JBRBPJ00070","Clavicula"
"JBRBPJ00071","Clavicula"
"JBRBPJ00072","Clavicula"
"JIAS000067","Clavicula"
"JIAS000068","Clavicula"
"JIAS000069","Clavicula"
"JIAS000070","Clavicula"
"JIAS000071","Clavicula"
"JIAS000072","Clavicula"
"JMAS000067","Clavicula"
"JMAS000068","Clavicula"
"JMAS000069","Clavicula"
"JMAS000070","Clavicula"
"JMAS000071","Clavicula"
"JMAS000072","Clavicula"
"JNE000067","Clavicula"
"JNE000068","Clavicula"
"JNE000069","Clavicula"
"JNE000070","Clavicula"
"JNE000071","Clavicula"
"JNE000072","Clavicula"
"KCI000067","Clavicula"
"KCI000068","Clavicula"
"KCI000069","Clavicula"
"KCI000070","Clavicula"
"KCI000071","Clavicula"
"KCI000072","Clavicula"
"KOP000067","Clavicula"
"KOP000068","Clavicula"
"KOP000069","Clavicula"
"KOP000070","Clavicula"
"KOP000071","Clavicula"
"KOP000072","Clavicula"
"KYCI00067","Clavicula"
"KYCI00068","Clavicula"
"KYCI00069","Clavicula"
"KYCI00070","Clavicula"
"KYCI00071","Clavicula"
"KYCI00072","Clavicula"
"MAG000067","Clavicula"
"MAG000068","Clavicula"
"MAG000069","Clavicula"
"MAG000070","Clavicula"
"MAG000071","Clavicula"
"MAG000072","Clavicula"
"MALIFE000067","Clavicula"
"MALIFE000068","Clavicula"
"MALIFE000069","Clavicula"
"MALIFE000070","Clavicula"
"MALIFE000071","Clavicula"
"MALIFE000072","Clavicula"
"MEDITAP000067","Clavicula"
"MEDITAP000068","Clavicula"
"MEDITAP000069","Clavicula"
"MEDITAP000070","Clavicula"
"MEDITAP000071","Clavicula"
"MEDITAP000072","Clavicula"
"MEGA000067","Clavicula"
"MEGA000068","Clavicula"
"MEGA000069","Clavicula"
"MEGA000070","Clavicula"
"MEGA000071","Clavicula"
"MEGA000072","Clavicula"
"MEGINS000067","Clavicula"
"MEGINS000068","Clavicula"
"MEGINS000069","Clavicula"
"MEGINS000070","Clavicula"
"MEGINS000071","Clavicula"
"MEGINS000072","Clavicula"
"MITAD000067","Clavicula"
"MITAD000068","Clavicula"
"MITAD000069","Clavicula"
"MITAD000070","Clavicula"
"MITAD000071","Clavicula"
"MITAD000072","Clavicula"
"MITSOTE000067","Clavicula"
"MITSOTE000068","Clavicula"
"MITSOTE000069","Clavicula"
"MITSOTE000070","Clavicula"
"MITSOTE000071","Clavicula"
"MITSOTE000072","Clavicula"
"NUSA000067","Clavicula"
"NUSA000068","Clavicula"
"NUSA000069","Clavicula"
"NUSA000070","Clavicula"
"NUSA000071","Clavicula"
"NUSA000072","Clavicula"
"OWLEXA000067","Clavicula"
"OWLEXA000068","Clavicula"
"OWLEXA000069","Clavicula"
"OWLEXA000070","Clavicula"
"OWLEXA000071","Clavicula"
"OWLEXA000072","Clavicula"
"PANFIC000067","Clavicula"
"PANFIC000068","Clavicula"
"PANFIC000069","Clavicula"
"PANFIC000070","Clavicula"
"PANFIC000071","Clavicula"
"PANFIC000072","Clavicula"
"PCEPYR000067","Clavicula"
"PCEPYR000068","Clavicula"
"PCEPYR000069","Clavicula"
"PCEPYR000070","Clavicula"
"PCEPYR000071","Clavicula"
"PCEPYR000072","Clavicula"
"PCROSS000067","Clavicula"
"PCROSS000068","Clavicula"
"PCROSS000069","Clavicula"
"PCROSS000070","Clavicula"
"PCROSS000071","Clavicula"
"PCROSS000072","Clavicula"
"PELIFE000067","Clavicula"
"PELIFE000068","Clavicula"
"PELIFE000069","Clavicula"
"PELIFE000070","Clavicula"
"PELIFE000071","Clavicula"
"PELIFE000072","Clavicula"
"PLN000067","Clavicula"
"PLN000068","Clavicula"
"PLN000069","Clavicula"
"PLN000070","Clavicula"
"PLN000071","Clavicula"
"PLN000072","Clavicula"
"PRUDEN000067","Clavicula"
"PRUDEN000068","Clavicula"
"PRUDEN000069","Clavicula"
"PRUDEN000070","Clavicula"
"PRUDEN000071","Clavicula"
"PRUDEN000072","Clavicula"
"PUFR000067","Clavicula"
"PUFR000068","Clavicula"
"PUFR000069","Clavicula"
"PUFR000070","Clavicula"
"PUFR000071","Clavicula"
"PUFR000072","Clavicula"
"SEQLIFE000067","Clavicula"
"SEQLIFE000068","Clavicula"
"SEQLIFE000069","Clavicula"
"SEQLIFE000070","Clavicula"
"SEQLIFE000071","Clavicula"
"SEQLIFE000072","Clavicula"
"SIMAS000067","Clavicula"
"SIMAS000068","Clavicula"
"SIMAS000069","Clavicula"
"SIMAS000070","Clavicula"
"SIMAS000071","Clavicula"
"SIMAS000072","Clavicula"
"SLYNK000067","Clavicula"
"SLYNK000068","Clavicula"
"SLYNK000069","Clavicula"
"SLYNK000070","Clavicula"
"SLYNK000071","Clavicula"
"SLYNK000072","Clavicula"
"SOMPO000067","Clavicula"
"SOMPO000068","Clavicula"
"SOMPO000069","Clavicula"
"SOMPO000070","Clavicula"
"SOMPO000071","Clavicula"
"SOMPO000072","Clavicula"
"SUMDAS000067","Clavicula"
"SUMDAS000068","Clavicula"
"SUMDAS000069","Clavicula"
"SUMDAS000070","Clavicula"
"SUMDAS000071","Clavicula"
"SUMDAS000072","Clavicula"
"SUNDAY000067","Clavicula"
"SUNDAY000068","Clavicula"
"SUNDAY000069","Clavicula"
"SUNDAY000070","Clavicula"
"SUNDAY000071","Clavicula"
"SUNDAY000072","Clavicula"
"SUNPDSA000067","Clavicula"
"SUNPDSA000068","Clavicula"
"SUNPDSA000069","Clavicula"
"SUNPDSA000070","Clavicula"
"SUNPDSA000071","Clavicula"
"SUNPDSA000072","Clavicula"
"SWPIA000067","Clavicula"
"SWPIA000068","Clavicula"
"SWPIA000069","Clavicula"
"SWPIA000070","Clavicula"
"SWPIA000071","Clavicula"
"SWPIA000072","Clavicula"
"TAKAFUL000067","Clavicula"
"TAKAFUL000068","Clavicula"
"TAKAFUL000069","Clavicula"
"TAKAFUL000070","Clavicula"
"TAKAFUL000071","Clavicula"
"TAKAFUL000072","Clavicula"
"TEMED000067","Clavicula"
"TEMED000068","Clavicula"
"TEMED000069","Clavicula"
"TEMED000070","Clavicula"
"TEMED000071","Clavicula"
"TEMED000072","Clavicula"
"TIMEDC000067","Clavicula"
"TIMEDC000068","Clavicula"
"TIMEDC000069","Clavicula"
"TIMEDC000070","Clavicula"
"TIMEDC000071","Clavicula"
"TIMEDC000072","Clavicula"
"TOMAR000067","Clavicula"
"TOMAR000068","Clavicula"
"TOMAR000069","Clavicula"
"TOMAR000070","Clavicula"
"TOMAR000071","Clavicula"
"TOMAR000072","Clavicula"
"TRAUT000067","Clavicula"
"TRAUT000068","Clavicula"
"TRAUT000069","Clavicula"
"TRAUT000070","Clavicula"
"TRAUT000071","Clavicula"
"TRAUT000072","Clavicula"
"YAKES000067","Clavicula"
"YAKES000068","Clavicula"
"YAKES000069","Clavicula"
"YAKES000070","Clavicula"
"YAKES000071","Clavicula"
"YAKES000072","Clavicula"
"ZURAD000067","Clavicula"
"ZURAD000068","Clavicula"
"ZURAD000069","Clavicula"
"ZURAD000070","Clavicula"
"ZURAD000071","Clavicula"
"ZURAD000072","Clavicula"
"ZURME000067","Clavicula"
"ZURME000068","Clavicula"
"ZURME000069","Clavicula"
"ZURME000070","Clavicula"
"ZURME000071","Clavicula"
"ZURME000072","Clavicula"
"AAA000073","Cranium"
"AAA000074","Cranium"
"AAA000075","Cranium"
"AAA000076","Cranium"
"AAA000077","Cranium"
"AAA000078","Cranium"
"ABDA000073","Cranium"
"ABDA000074","Cranium"
"ABDA000075","Cranium"
"ABDA000076","Cranium"
"ABDA000077","Cranium"
"ABDA000078","Cranium"
"ACADM000073","Cranium"
"ACADM000074","Cranium"
"ACADM000075","Cranium"
"ACADM000076","Cranium"
"ACADM000077","Cranium"
"ACADM000078","Cranium"
"ACPHLT000073","Cranium"
"ACPHLT000074","Cranium"
"ACPHLT000075","Cranium"
"ACPHLT000076","Cranium"
"ACPHLT000077","Cranium"
"ACPHLT000078","Cranium"
"ACPRM000073","Cranium"
"ACPRM000074","Cranium"
"ACPRM000075","Cranium"
"ACPRM000076","Cranium"
"ACPRM000077","Cranium"
"ACPRM000078","Cranium"
"ADIRA000073","Cranium"
"ADIRA000074","Cranium"
"ADIRA000075","Cranium"
"ADIRA000076","Cranium"
"ADIRA000077","Cranium"
"ADIRA000078","Cranium"
"ADM000073","Cranium"
"ADM000074","Cranium"
"ADM000075","Cranium"
"ADM000076","Cranium"
"ADM000077","Cranium"
"ADM000078","Cranium"
"AIA000073","Cranium"
"AIA000074","Cranium"
"AIA000075","Cranium"
"AIA000076","Cranium"
"AIA000077","Cranium"
"AIA000078","Cranium"
"ALLI000073","Cranium"
"ALLI000074","Cranium"
"ALLI000075","Cranium"
"ALLI000076","Cranium"
"ALLI000077","Cranium"
"ALLI000078","Cranium"
"ANGPUR000073","Cranium"
"ANGPUR000074","Cranium"
"ANGPUR000075","Cranium"
"ANGPUR000076","Cranium"
"ANGPUR000077","Cranium"
"ANGPUR000078","Cranium"
"ANUMAP000073","Cranium"
"ANUMAP000074","Cranium"
"ANUMAP000075","Cranium"
"ANUMAP000076","Cranium"
"ANUMAP000077","Cranium"
"ANUMAP000078","Cranium"
"ASIAS000073","Cranium"
"ASIAS000074","Cranium"
"ASIAS000075","Cranium"
"ASIAS000076","Cranium"
"ASIAS000077","Cranium"
"ASIAS000078","Cranium"
"ASKRI000073","Cranium"
"ASKRI000074","Cranium"
"ASKRI000075","Cranium"
"ASKRI000076","Cranium"
"ASKRI000077","Cranium"
"ASKRI000078","Cranium"
"ASTBUA000073","Cranium"
"ASTBUA000074","Cranium"
"ASTBUA000075","Cranium"
"ASTBUA000076","Cranium"
"ASTBUA000077","Cranium"
"ASTBUA000078","Cranium"
"ASTVIV000073","Cranium"
"ASTVIV000074","Cranium"
"ASTVIV000075","Cranium"
"ASTVIV000076","Cranium"
"ASTVIV000077","Cranium"
"ASTVIV000078","Cranium"
"AVRIST000073","Cranium"
"AVRIST000074","Cranium"
"AVRIST000075","Cranium"
"AVRIST000076","Cranium"
"AVRIST000077","Cranium"
"AVRIST000078","Cranium"
"AXMAN000073","Cranium"
"AXMAN000074","Cranium"
"AXMAN000075","Cranium"
"AXMAN000076","Cranium"
"AXMAN000077","Cranium"
"AXMAN000078","Cranium"
"AXRAL000073","Cranium"
"AXRAL000074","Cranium"
"AXRAL000075","Cranium"
"AXRAL000076","Cranium"
"AXRAL000077","Cranium"
"AXRAL000078","Cranium"
"BCA000073","Cranium"
"BCA000074","Cranium"
"BCA000075","Cranium"
"BCA000076","Cranium"
"BCA000077","Cranium"
"BCA000078","Cranium"
"BLI000073","Cranium"
"BLI000074","Cranium"
"BLI000075","Cranium"
"BLI000076","Cranium"
"BLI000077","Cranium"
"BLI000078","Cranium"
"BNLI000073","Cranium"
"BNLI000074","Cranium"
"BNLI000075","Cranium"
"BNLI000076","Cranium"
"BNLI000077","Cranium"
"BNLI000078","Cranium"
"BOSAD000073","Cranium"
"BOSAD000074","Cranium"
"BOSAD000075","Cranium"
"BOSAD000076","Cranium"
"BOSAD000077","Cranium"
"BOSAD000078","Cranium"
"BRLII000073","Cranium"
"BRLII000074","Cranium"
"BRLII000075","Cranium"
"BRLII000076","Cranium"
"BRLII000077","Cranium"
"BRLII000078","Cranium"
"BUMDA000073","Cranium"
"BUMDA000074","Cranium"
"BUMDA000075","Cranium"
"BUMDA000076","Cranium"
"BUMDA000077","Cranium"
"BUMDA000078","Cranium"
"CADM000073","Cranium"
"CADM000074","Cranium"
"CADM000075","Cranium"
"CADM000076","Cranium"
"CADM000077","Cranium"
"CADM000078","Cranium"
"CAR000073","Cranium"
"CAR000074","Cranium"
"CAR000075","Cranium"
"CAR000076","Cranium"
"CAR000077","Cranium"
"CAR000078","Cranium"
"CHBB000073","Cranium"
"CHBB000074","Cranium"
"CHBB000075","Cranium"
"CHBB000076","Cranium"
"CHBB000077","Cranium"
"CHBB000078","Cranium"
"CHIN000073","Cranium"
"CHIN000074","Cranium"
"CHIN000075","Cranium"
"CHIN000076","Cranium"
"CHIN000077","Cranium"
"CHIN000078","Cranium"
"CLIFEA000073","Cranium"
"CLIFEA000074","Cranium"
"CLIFEA000075","Cranium"
"CLIFEA000076","Cranium"
"CLIFEA000077","Cranium"
"CLIFEA000078","Cranium"
"CMNP000073","Cranium"
"CMNP000074","Cranium"
"CMNP000075","Cranium"
"CMNP000076","Cranium"
"CMNP000077","Cranium"
"CMNP000078","Cranium"
"DAYIN000073","Cranium"
"DAYIN000074","Cranium"
"DAYIN000075","Cranium"
"DAYIN000076","Cranium"
"DAYIN000077","Cranium"
"DAYIN000078","Cranium"
"EKALI000073","Cranium"
"EKALI000074","Cranium"
"EKALI000075","Cranium"
"EKALI000076","Cranium"
"EKALI000077","Cranium"
"EKALI000078","Cranium"
"EQUITY000073","Cranium"
