"kd_jenis_prw","nm_perawatan"
"BUMDA000003","Abdomen 3 Posisi"
"BUMDA000004","Abdomen 3 Posisi"
"BUMDA000005","Abdomen 3 Posisi"
"BUMDA000006","Abdomen 3 Posisi"
"CADM000001","Abdomen 3 Posisi"
"CADM000002","Abdomen 3 Posisi"
"CADM000003","Abdomen 3 Posisi"
"CADM000004","Abdomen 3 Posisi"
"CADM000005","Abdomen 3 Posisi"
"CADM000006","Abdomen 3 Posisi"
"CAR000001","Abdomen 3 Posisi"
"CAR000002","Abdomen 3 Posisi"
"CAR000003","Abdomen 3 Posisi"
"CAR000004","Abdomen 3 Posisi"
"CAR000005","Abdomen 3 Posisi"
"CAR000006","Abdomen 3 Posisi"
"CHBB000001","Abdomen 3 Posisi"
"CHBB000002","Abdomen 3 Posisi"
"CHBB000003","Abdomen 3 Posisi"
"CHBB000004","Abdomen 3 Posisi"
"CHBB000005","Abdomen 3 Posisi"
"CHBB000006","Abdomen 3 Posisi"
"CHIN000001","Abdomen 3 Posisi"
"CHIN000002","Abdomen 3 Posisi"
"CHIN000003","Abdomen 3 Posisi"
"CHIN000004","Abdomen 3 Posisi"
"CHIN000005","Abdomen 3 Posisi"
"CHIN000006","Abdomen 3 Posisi"
"CLIFEA000001","Abdomen 3 Posisi"
"CLIFEA000002","Abdomen 3 Posisi"
"CLIFEA000003","Abdomen 3 Posisi"
"CLIFEA000004","Abdomen 3 Posisi"
"CLIFEA000005","Abdomen 3 Posisi"
"CLIFEA000006","Abdomen 3 Posisi"
"CMNP000001","Abdomen 3 Posisi"
"CMNP000002","Abdomen 3 Posisi"
"CMNP000003","Abdomen 3 Posisi"
"CMNP000004","Abdomen 3 Posisi"
"CMNP000005","Abdomen 3 Posisi"
"CMNP000006","Abdomen 3 Posisi"
"DAYIN000001","Abdomen 3 Posisi"
"DAYIN000002","Abdomen 3 Posisi"
"DAYIN000003","Abdomen 3 Posisi"
"DAYIN000004","Abdomen 3 Posisi"
"DAYIN000005","Abdomen 3 Posisi"
"DAYIN000006","Abdomen 3 Posisi"
"EKALI000001","Abdomen 3 Posisi"
"EKALI000002","Abdomen 3 Posisi"
"EKALI000003","Abdomen 3 Posisi"
"EKALI000004","Abdomen 3 Posisi"
"EKALI000005","Abdomen 3 Posisi"
"EKALI000006","Abdomen 3 Posisi"
"EQUITY000001","Abdomen 3 Posisi"
"EQUITY000002","Abdomen 3 Posisi"
"EQUITY000003","Abdomen 3 Posisi"
"EQUITY000004","Abdomen 3 Posisi"
"EQUITY000005","Abdomen 3 Posisi"
"EQUITY000006","Abdomen 3 Posisi"
"FULLTON000001","Abdomen 3 Posisi"
"FULLTON000002","Abdomen 3 Posisi"
"FULLTON000003","Abdomen 3 Posisi"
"FULLTON000004","Abdomen 3 Posisi"
"FULLTON000005","Abdomen 3 Posisi"
"FULLTON000006","Abdomen 3 Posisi"
"FWDLi000001","Abdomen 3 Posisi"
"FWDLi000002","Abdomen 3 Posisi"
"FWDLi000003","Abdomen 3 Posisi"
"FWDLi000004","Abdomen 3 Posisi"
"FWDLi000005","Abdomen 3 Posisi"
"FWDLi000006","Abdomen 3 Posisi"
"GENE000001","Abdomen 3 Posisi"
"GENE000002","Abdomen 3 Posisi"
"GENE000003","Abdomen 3 Posisi"
"GENE000004","Abdomen 3 Posisi"
"GENE000005","Abdomen 3 Posisi"
"GENE000006","Abdomen 3 Posisi"
"GRAST000001","Abdomen 3 Posisi"
"GRAST000002","Abdomen 3 Posisi"
"GRAST000003","Abdomen 3 Posisi"
"GRAST000004","Abdomen 3 Posisi"
"GRAST000005","Abdomen 3 Posisi"
"GRAST000006","Abdomen 3 Posisi"
"HADOC000001","Abdomen 3 Posisi"
"HADOC000002","Abdomen 3 Posisi"
"HADOC000003","Abdomen 3 Posisi"
"HADOC000004","Abdomen 3 Posisi"
"HADOC000005","Abdomen 3 Posisi"
"HADOC000006","Abdomen 3 Posisi"
"HARTA000001","Abdomen 3 Posisi"
